                                         impact_area_community  impact_area_customers  impact_area_environment  impact_area_governance  impact_area_workers
industry_category                                                                                                                                          
Accommodation & food service                         26.071845               4.286735                16.788350               15.189320            22.494898
Administrative & support services                    23.054822               9.098985                10.717766               16.721320            26.122826
Agriculture, forestry & fishing                      23.113100               2.944860                26.887773               13.678166            18.575330
Arts, entertainment & recreation                     25.011806              12.846853                 9.555556               16.007639            24.564567
Construction                                         16.536842              19.405556                21.768421               14.063158            20.931579
Education                                            20.092453              27.803774                 6.422642               15.298113            24.360000
Energy                                               16.165812               4.678947                33.291453               14.578632            23.257895
Energy, Heating & Cooling                            20.969231              15.646154                37.992308               13.669231            21.750000
Financial & insurance activities                     18.890323              27.015503                 7.009338               16.608149            26.855835
Human health & social work                           20.327273              24.264545                 7.276364               15.259091            25.278846
Information, communication & technology              21.013695              13.022429                 9.353923               16.778459            27.684948
Manufactured Goods                                   22.729569               4.287605                25.246682               14.025378            21.892261
Other services                                       22.183186              12.068000                13.594248               16.540265            24.200485
Professional & technical services                    24.728995              15.009884                 9.220395               16.441836            27.395873
Publishing - Print                                   22.212500              15.387500                10.812500               15.243750            26.121429
Real estate, design & building                       19.797890               3.576824                26.389873               15.056118            25.291342
Rental & Repair                                      18.388889               3.200000                21.405556               15.322222            25.500000
Retail                                               26.534419               4.959692                23.109555               14.933659            19.632412
Transportation & storage                             17.245238               3.754762                18.159524               15.585714            24.564286
Waste Management & Recycling                         19.217778               2.095349                37.660000               13.268889            19.822727
Water & Sewerage                                     17.440000              18.380000                31.740000               13.760000            14.460000
Wholesale                                            24.407042               4.768694                24.189437               14.992782            20.665341
