                                         company_count   avg_score
industry_category                                                 
Energy, Heating & Cooling                           13  116.530769
Water & Sewerage                                     5  102.020000
Financial & insurance activities                   589  101.712224
Education                                          159   98.817610
Human health & social work                         110   98.380000
Energy                                             117   97.617949
Construction                                        19   97.478947
Waste Management & Recycling                        45   97.333333
Real estate, design & building                     237   97.185654
Professional & technical services                 1721   95.997618
Other services                                     226   94.815929
Wholesale                                          568   93.755634
Information, communication & technology            701   93.747218
Agriculture, forestry & fishing                    229   93.493886
Arts, entertainment & recreation                   144   93.118750
Retail                                             921   93.077959
Administrative & support services                  197   92.480711
Manufactured Goods                                 859   92.391153
Publishing - Print                                  16   92.156250
Rental & Repair                                     18   92.094444
Accommodation & food service                       103   91.581553
Transportation & storage                            42   89.902381
